,FIGHTER,HEIGHT_fighter,WEIGHT_fighter,REACH_fighter,STANCE_fighter,Fights,Win,DRAW,Lost,No_contest,TotalTime,KD_fighter,SUB.ATT_fighter,REV._fighter,CTRL_fighter,SIG.STR._landed_fighter,SIG.STR._attemps_fighter,TOTAL STR._landed_fighter,TOTAL STR._attemps_fighter,TD_landed_fighter,TD_attemps_fighter,HEAD_landed_fighter,HEAD_attemps_fighter,BODY_landed_fighter,BODY_attemps_fighter,LEG_landed_fighter,LEG_attemps_fighter,DISTANCE_landed_fighter,DISTANCE_attemps_fighter,CLINCH_landed_fighter,CLINCH_attemps_fighter,GROUND_landed_fighter,GROUND_attemps_fighter,KD_opponent,SUB.ATT_opponent,REV._opponent,CTRL_opponent,SIG.STR._landed_opponent,SIG.STR._attemps_opponent,TOTAL STR._landed_opponent,TOTAL STR._attemps_opponent,TD_landed_opponent,TD_attemps_opponent,HEAD_landed_opponent,HEAD_attemps_opponent,BODY_landed_opponent,BODY_attemps_opponent,LEG_landed_opponent,LEG_attemps_opponent,DISTANCE_landed_opponent,DISTANCE_attemps_opponent,CLINCH_landed_opponent,CLINCH_attemps_opponent,GROUND_landed_opponent,GROUND_attemps_opponent
930,Leon Edwards,74.0,170.0,74.0,Southpaw,15,12,0,2,1,14250,5.0,6.0,3.0,3513,614,1214,874,1509,22,65,389,932,133,179,92,103,438,991,91,112,85,111,1.0,2.0,0.0,3356.0,542.0,1157.0,1131.0,1801.0,25.0,79.0,315.0,844.0,142.0,192.0,85.0,121.0,385.0,938.0,89.0,116.0,68.0,103.0
931,Leonard Garcia,70.0,145.0,68.0,Orthodox,9,2,0,7,0,7161,1.0,3.0,5.0,487,334,1375,509,1586,4,12,218,1199,57,98,59,78,289,1297,27,51,18,27,1.0,18.0,3.0,3000.0,627.0,1361.0,937.0,1716.0,20.0,34.0,490.0,1175.0,110.0,151.0,27.0,35.0,447.0,1049.0,33.0,63.0,147.0,249.0
932,Leonardo Mafra,70.0,155.0,70.0,Orthodox,4,1,0,3,0,2123,0.0,1.0,0.0,413,161,332,242,425,5,6,97,246,24,39,40,47,129,286,14,21,18,25,3.0,1.0,0.0,697.0,155.0,275.0,215.0,342.0,4.0,13.0,115.0,213.0,32.0,51.0,8.0,11.0,102.0,203.0,7.0,12.0,46.0,60.0
933,Leonardo Santos,72.0,155.0,75.0,Orthodox,11,7,0,4,0,7155,3.0,2.0,0.0,912,336,717,529,944,7,27,207,535,77,121,52,61,237,588,41,56,58,73,1.0,1.0,1.0,2141.0,405.0,883.0,693.0,1224.0,6.0,46.0,206.0,633.0,123.0,156.0,76.0,94.0,294.0,731.0,72.0,96.0,39.0,56.0
934,Lerone Murphy,69.0,145.0,73.0,Orthodox,4,3,0,1,0,2372,1.0,2.0,1.0,771,102,238,156,297,2,6,59,184,26,36,17,18,64,184,10,13,28,41,1.0,0.0,1.0,398.0,75.0,201.0,101.0,234.0,12.0,19.0,42.0,149.0,15.0,23.0,18.0,29.0,51.0,165.0,14.0,20.0,10.0,16.0
935,Leslie Smith,69.0,135.0,66.0,Orthodox,7,4,0,3,0,3788,2.0,0.0,0.0,236,477,1183,526,1238,0,5,345,1004,73,112,59,67,354,995,116,171,7,17,1.0,1.0,0.0,543.0,531.0,1085.0,598.0,1160.0,6.0,16.0,341.0,857.0,91.0,119.0,99.0,109.0,391.0,905.0,125.0,160.0,15.0,20.0
936,Levan Makashvili,68.0,145.0,68.0,Orthodox,3,1,0,2,0,2700,0.0,0.0,0.0,815,129,236,231,347,11,26,59,152,46,55,24,29,59,145,57,74,13,17,0.0,1.0,0.0,628.0,93.0,241.0,151.0,306.0,3.0,20.0,31.0,165.0,37.0,43.0,25.0,33.0,60.0,194.0,32.0,46.0,1.0,1.0
937,Li Jingliang,72.0,170.0,71.0,Orthodox,16,10,0,6,0,10249,9.0,0.0,2.0,872,767,1796,841,1886,14,34,451,1356,92,139,224,301,665,1625,34,67,68,104,5.0,9.0,0.0,1727.0,670.0,1583.0,931.0,1864.0,16.0,39.0,481.0,1325.0,95.0,142.0,94.0,116.0,522.0,1381.0,62.0,93.0,86.0,109.0
938,Liana Jojua,64.0,125.0,62.0,Orthodox,4,1,0,3,0,2109,0.0,3.0,0.0,285,85,282,135,345,4,6,68,254,15,24,2,4,77,268,3,4,5,10,0.0,1.0,1.0,489.0,187.0,410.0,309.0,554.0,1.0,2.0,124.0,322.0,35.0,56.0,28.0,32.0,154.0,364.0,5.0,8.0,28.0,38.0
939,Liliya Shakirova,64.0,125.0,65.0,Orthodox,1,0,0,1,0,511,0.0,0.0,0.0,29,23,75,27,80,0,3,7,45,7,17,9,13,23,75,0,0,0,0,0.0,1.0,0.0,70.0,22.0,85.0,32.0,96.0,1.0,1.0,16.0,78.0,6.0,7.0,0.0,0.0,12.0,72.0,8.0,11.0,2.0,2.0
940,Lina Lansberg,67.0,135.0,65.0,Orthodox,9,4,0,5,0,7202,1.0,1.0,1.0,2096,329,593,612,940,5,18,175,411,127,150,27,32,123,328,147,186,59,79,0.0,2.0,0.0,3156.0,467.0,859.0,876.0,1362.0,15.0,29.0,268.0,618.0,163.0,196.0,36.0,45.0,225.0,541.0,156.0,198.0,86.0,120.0
941,Liudvik Sholinian,70.0,135.0,71.0,Orthodox,2,0,0,2,0,1800,0.0,0.0,0.0,176,75,244,103,274,0,6,55,222,18,20,2,2,62,231,9,9,4,4,0.0,1.0,0.0,427.0,170.0,382.0,218.0,438.0,4.0,12.0,114.0,312.0,27.0,34.0,29.0,36.0,152.0,359.0,11.0,15.0,7.0,8.0
942,Livinha Souza,63.0,115.0,63.0,Orthodox,6,3,0,3,0,3900,0.0,6.0,0.0,678,114,253,237,382,11,24,51,166,28,43,35,44,79,193,20,29,15,31,2.0,0.0,2.0,1387.0,234.0,542.0,448.0,786.0,3.0,5.0,175.0,446.0,38.0,62.0,21.0,34.0,150.0,427.0,42.0,64.0,42.0,51.0
943,Liz Carmouche,66.0,125.0,66.0,Orthodox,10,5,0,5,0,8626,0.0,4.0,0.0,2555,314,592,946,1272,25,41,164,390,57,77,93,125,177,417,46,52,91,123,1.0,8.0,2.0,2294.0,302.0,861.0,665.0,1263.0,8.0,24.0,126.0,606.0,48.0,90.0,128.0,165.0,171.0,678.0,75.0,111.0,56.0,72.0
944,Loma Lookboonmee,61.0,115.0,61.0,Orthodox,6,4,0,2,0,5400,0.0,0.0,1.0,885,379,648,532,851,11,23,144,335,172,242,63,71,182,404,162,198,35,46,0.0,5.0,2.0,1645.0,230.0,496.0,393.0,699.0,8.0,31.0,160.0,386.0,56.0,81.0,14.0,29.0,138.0,363.0,82.0,116.0,10.0,17.0
945,Loopy Godinez,62.0,115.0,61.0,Orthodox,6,3,0,3,0,4754,0.0,4.0,0.0,2189,235,488,423,723,24,53,177,413,48,62,10,13,175,405,26,41,34,42,0.0,0.0,0.0,531.0,196.0,484.0,370.0,697.0,3.0,16.0,115.0,360.0,65.0,104.0,16.0,20.0,158.0,429.0,31.0,48.0,7.0,7.0
946,Lorenz Larkin,71.0,170.0,72.0,Orthodox,10,5,0,5,0,6499,3.0,0.0,2.0,354,391,876,453,942,1,4,191,603,61,98,139,175,293,735,75,115,23,26,1.0,3.0,0.0,1603.0,323.0,862.0,480.0,1037.0,9.0,44.0,173.0,629.0,63.0,114.0,87.0,119.0,274.0,794.0,42.0,61.0,7.0,7.0
947,Louis Cosce,69.0,170.0,71.0,Orthodox,2,0,0,2,0,1667,1.0,1.0,0.0,269,109,244,136,273,2,10,81,201,15,26,13,17,67,187,17,23,25,34,0.0,0.0,0.0,325.0,150.0,283.0,205.0,341.0,3.0,6.0,110.0,231.0,26.0,38.0,14.0,14.0,107.0,225.0,25.0,34.0,18.0,24.0
948,Louis Gaudinot,63.0,125.0,63.0,Orthodox,5,1,0,3,1,3185,0.0,4.0,0.0,243,124,332,189,409,2,5,74,252,20,36,30,44,99,284,13,28,12,20,1.0,2.0,0.0,1282.0,341.0,664.0,609.0,983.0,11.0,16.0,223.0,509.0,90.0,124.0,28.0,31.0,179.0,421.0,44.0,53.0,118.0,190.0
949,Louis Smolka,69.0,135.0,68.0,Orthodox,17,8,0,9,0,9588,2.0,19.0,13.0,2716,747,1575,919,1773,18,51,497,1226,194,287,56,62,455,1141,81,111,211,323,6.0,20.0,8.0,2433.0,657.0,1417.0,880.0,1667.0,40.0,59.0,377.0,1031.0,185.0,281.0,95.0,105.0,468.0,1154.0,90.0,130.0,99.0,133.0
950,Luan Chagas,72.0,170.0,75.0,Orthodox,4,1,0,3,0,2785,4.0,1.0,2.0,426,193,410,228,449,1,8,129,315,23,47,41,48,169,371,9,11,15,28,2.0,3.0,1.0,568.0,148.0,394.0,212.0,464.0,1.0,7.0,106.0,339.0,29.0,42.0,13.0,13.0,110.0,333.0,8.0,11.0,30.0,50.0
951,Luana Carolina,66.0,125.0,69.0,Orthodox,5,3,0,2,0,3500,1.0,4.0,2.0,567,255,520,390,670,0,0,131,362,95,125,29,33,181,415,65,93,9,12,1.0,1.0,2.0,1073.0,214.0,423.0,311.0,523.0,5.0,23.0,120.0,292.0,69.0,101.0,25.0,30.0,166.0,355.0,35.0,55.0,13.0,13.0
952,Luana Pinheiro,62.0,115.0,62.0,Orthodox,2,2,0,0,0,1156,1.0,1.0,0.0,181,89,212,102,231,7,9,62,170,18,30,9,12,73,186,9,11,7,15,0.0,0.0,0.0,48.0,71.0,170.0,93.0,198.0,0.0,0.0,35.0,104.0,12.0,29.0,24.0,37.0,62.0,160.0,8.0,9.0,1.0,1.0
953,Lucas Almeida,71.0,155.0,71.0,Orthodox,1,1,0,0,0,655,2.0,0.0,0.0,133,75,152,94,171,0,0,32,95,16,22,27,35,54,121,0,0,21,31,1.0,0.0,0.0,103.0,31.0,62.0,42.0,74.0,0.0,0.0,17.0,45.0,12.0,14.0,2.0,3.0,26.0,55.0,1.0,2.0,4.0,5.0
954,Lucas Martins,72.0,145.0,72.0,Southpaw,7,4,0,3,0,3699,3.0,2.0,0.0,72,177,494,202,519,0,1,122,421,25,37,30,36,159,460,12,27,6,7,3.0,0.0,0.0,1084.0,255.0,644.0,437.0,869.0,7.0,30.0,168.0,499.0,57.0,108.0,30.0,37.0,173.0,493.0,40.0,82.0,42.0,69.0
955,Lucie Pudilova,68.0,125.0,67.0,Orthodox,8,3,0,5,0,6324,2.0,5.0,2.0,1199,439,1181,616,1395,3,11,337,1025,57,90,45,66,313,1013,65,84,61,84,0.0,7.0,0.0,1228.0,420.0,876.0,536.0,1006.0,7.0,18.0,227.0,613.0,87.0,134.0,106.0,129.0,303.0,698.0,79.0,110.0,38.0,68.0
956,Ludovit Klein,67.0,145.0,72.0,Southpaw,5,3,0,2,0,3518,2.0,0.0,0.0,1043,206,366,253,420,4,12,111,246,71,94,24,26,164,312,29,38,13,16,0.0,3.0,0.0,377.0,227.0,444.0,356.0,579.0,1.0,8.0,110.0,285.0,78.0,115.0,39.0,44.0,155.0,350.0,71.0,91.0,1.0,3.0
957,Luigi Fioravanti,68.0,170.0,70.0,Orthodox,9,4,0,5,0,5750,2.0,6.0,1.0,1529,214,499,429,756,24,38,112,372,30,43,72,84,107,290,65,126,42,83,3.0,6.0,1.0,1123.0,212.0,705.0,526.0,1035.0,9.0,28.0,123.0,554.0,62.0,107.0,27.0,44.0,107.0,507.0,63.0,123.0,42.0,75.0
958,Luigi Vendramini,68.0,155.0,73.0,Orthodox,4,1,0,3,0,1617,1.0,1.0,0.0,379,76,186,101,217,2,13,45,145,18,24,13,17,62,163,6,8,8,15,2.0,0.0,0.0,17.0,103.0,244.0,107.0,248.0,0.0,2.0,62.0,200.0,17.0,20.0,24.0,24.0,94.0,231.0,6.0,9.0,3.0,4.0
959,Luis Henrique,74.0,243.0,74.0,Orthodox,6,2,0,4,0,4369,0.0,5.0,0.0,2010,132,303,328,561,15,41,94,259,27,32,11,12,58,187,27,44,47,72,2.0,1.0,1.0,727.0,162.0,306.0,392.0,571.0,2.0,4.0,130.0,269.0,27.0,29.0,5.0,8.0,71.0,193.0,43.0,52.0,48.0,61.0
960,Luis Pena,75.0,155.0,75.0,Southpaw,8,5,0,3,0,6159,1.0,8.0,8.0,2291,376,802,454,905,8,24,313,710,47,74,16,18,246,600,35,63,95,139,0.0,4.0,3.0,931.0,320.0,655.0,452.0,830.0,17.0,33.0,147.0,439.0,73.0,113.0,100.0,103.0,279.0,592.0,23.0,35.0,18.0,28.0
961,Luis Saldana,71.0,145.0,73.0,Orthodox,4,2,0,2,0,3600,2.0,1.0,1.0,453,288,592,305,613,3,17,140,395,62,87,86,110,268,564,14,20,6,8,1.0,3.0,1.0,503.0,245.0,585.0,267.0,612.0,5.0,9.0,157.0,465.0,66.0,92.0,22.0,28.0,234.0,567.0,9.0,15.0,2.0,3.0
962,Luiz Cane,74.0,185.0,77.0,Southpaw,9,4,0,5,0,3230,6.0,1.0,0.0,288,258,621,288,656,2,7,203,555,32,43,23,23,203,522,15,31,40,68,3.0,0.0,1.0,35.0,269.0,689.0,278.0,699.0,0.0,8.0,181.0,574.0,40.0,52.0,48.0,63.0,245.0,655.0,15.0,22.0,9.0,12.0
963,Lukasz Brzeski,76.0,236.0,78.0,Orthodox,1,0,0,1,0,900,0.0,0.0,0.0,0,118,273,124,280,0,0,49,182,51,69,18,22,116,268,2,5,0,0,0.0,0.0,0.0,6.0,66.0,188.0,66.0,188.0,0.0,0.0,50.0,169.0,3.0,6.0,13.0,13.0,65.0,187.0,1.0,1.0,0.0,0.0
964,Lukasz Sajewski,68.0,155.0,71.0,Orthodox,3,0,0,3,0,1777,0.0,0.0,0.0,312,61,170,77,187,2,8,33,127,22,33,6,10,50,150,4,12,7,8,0.0,1.0,0.0,144.0,115.0,272.0,141.0,300.0,3.0,9.0,81.0,226.0,18.0,27.0,16.0,19.0,91.0,225.0,20.0,42.0,4.0,5.0
965,Luke Barnatt,78.0,185.0,77.0,Orthodox,6,3,0,3,0,4296,2.0,2.0,0.0,133,317,870,389,944,3,7,220,698,66,118,31,54,256,786,48,65,13,19,1.0,2.0,0.0,952.0,277.0,677.0,316.0,726.0,12.0,33.0,195.0,545.0,32.0,53.0,50.0,79.0,225.0,585.0,30.0,51.0,22.0,41.0
966,Luke Cummo,72.0,170.0,74.0,Orthodox,7,3,0,4,0,5070,4.0,8.0,0.0,686,147,340,366,579,5,9,78,245,50,75,19,20,82,228,39,67,26,45,0.0,10.0,3.0,2798.0,127.0,314.0,345.0,571.0,31.0,54.0,91.0,264.0,22.0,31.0,14.0,19.0,30.0,142.0,23.0,36.0,74.0,136.0
967,Luke Jumeau,71.0,170.0,72.0,Orthodox,4,2,0,2,0,3600,0.0,0.0,0.0,234,176,403,200,428,1,1,108,314,28,47,40,42,132,341,41,57,3,5,0.0,0.0,0.0,736.0,190.0,454.0,274.0,555.0,4.0,30.0,119.0,340.0,37.0,67.0,34.0,47.0,122.0,357.0,48.0,65.0,20.0,32.0
968,Luke Rockhold,75.0,205.0,77.0,Southpaw,11,6,0,5,0,5099,2.0,6.0,1.0,1125,376,661,451,746,6,20,221,469,97,124,58,68,223,454,26,35,127,172,5.0,0.0,0.0,858.0,285.0,551.0,380.0,650.0,6.0,13.0,149.0,384.0,84.0,112.0,52.0,55.0,216.0,470.0,38.0,46.0,31.0,35.0
969,Luke Sanders,66.0,135.0,67.0,Southpaw,8,3,0,5,0,3778,4.0,1.0,0.0,672,416,791,497,883,3,10,335,685,51,67,30,39,284,632,41,60,91,99,2.0,5.0,0.0,298.0,275.0,559.0,322.0,615.0,6.0,22.0,134.0,384.0,88.0,118.0,53.0,57.0,234.0,500.0,24.0,34.0,17.0,25.0
970,Luke Zachrich,74.0,185.0,74.0,Orthodox,3,1,0,2,0,1211,0.0,0.0,0.0,1,92,283,93,284,1,3,70,254,8,13,14,16,89,276,3,7,0,0,1.0,1.0,0.0,54.0,90.0,240.0,100.0,253.0,1.0,5.0,61.0,199.0,13.0,24.0,16.0,17.0,74.0,219.0,10.0,15.0,6.0,6.0
971,Lyman Good,72.0,170.0,74.0,Orthodox,6,3,0,3,0,3290,3.0,0.0,0.0,85,293,601,327,641,1,1,214,506,52,64,27,31,221,519,58,64,14,18,0.0,2.0,0.0,360.0,220.0,595.0,237.0,614.0,5.0,20.0,134.0,473.0,53.0,86.0,33.0,36.0,180.0,542.0,40.0,53.0,0.0,0.0
972,Lyoto Machida,73.0,185.0,74.0,Southpaw,24,16,0,8,0,17145,14.0,8.0,2.0,2681,716,1384,927,1603,14,22,360,886,196,281,160,217,509,1063,89,127,118,194,3.0,7.0,1.0,1616.0,462.0,1235.0,763.0,1557.0,20.0,85.0,204.0,799.0,102.0,191.0,156.0,245.0,301.0,996.0,111.0,162.0,50.0,77.0
973,Mac Danzig,68.0,155.0,70.0,Orthodox,13,5,0,8,0,8451,3.0,6.0,3.0,1836,492,986,1123,1678,12,32,337,802,95,116,60,68,338,762,97,132,57,92,2.0,11.0,4.0,2788.0,477.0,1115.0,750.0,1408.0,25.0,48.0,289.0,893.0,100.0,128.0,88.0,94.0,243.0,780.0,139.0,189.0,95.0,146.0
974,Mackens Semerzier,69.0,145.0,72.0,Orthodox,3,1,0,1,1,1037,0.0,1.0,0.0,463,68,114,98,148,4,10,23,64,22,24,23,26,41,84,15,17,12,13,3.0,2.0,0.0,43.0,55.0,127.0,85.0,161.0,0.0,0.0,36.0,102.0,11.0,17.0,8.0,8.0,32.0,98.0,9.0,13.0,14.0,16.0
975,Mackenzie Dern,64.0,115.0,63.0,Orthodox,10,7,0,3,0,7415,1.0,15.0,4.0,2004,373,1031,652,1346,5,44,272,904,57,79,44,48,282,916,43,56,48,59,1.0,1.0,0.0,867.0,542.0,1143.0,643.0,1257.0,3.0,5.0,270.0,811.0,135.0,186.0,137.0,146.0,467.0,1050.0,63.0,76.0,12.0,17.0
976,Macy Chiasson,71.0,145.0,72.0,Orthodox,9,6,0,3,0,5810,2.0,2.0,3.0,2383,352,785,715,1211,14,41,201,585,124,162,27,38,167,495,101,137,84,153,1.0,5.0,0.0,1016.0,253.0,473.0,449.0,707.0,5.0,14.0,162.0,352.0,64.0,89.0,27.0,32.0,158.0,348.0,61.0,82.0,34.0,43.0
977,Mads Burnell,68.0,145.0,69.0,Orthodox,3,1,0,2,0,2347,0.0,1.0,1.0,1037,50,120,192,321,9,19,37,101,8,12,5,7,29,90,4,5,17,25,0.0,4.0,1.0,811.0,106.0,217.0,176.0,297.0,7.0,9.0,76.0,170.0,24.0,38.0,6.0,9.0,53.0,148.0,26.0,35.0,27.0,34.0
978,Magnus Cedenblad,77.0,185.0,79.0,Orthodox,6,4,0,2,0,2825,1.0,3.0,2.0,1387,112,219,379,511,9,14,70,161,25,39,17,19,67,157,23,31,22,31,3.0,1.0,2.0,499.0,142.0,238.0,267.0,377.0,2.0,6.0,88.0,167.0,24.0,33.0,30.0,38.0,75.0,161.0,29.0,31.0,38.0,46.0
979,Magomed Ankalaev,75.0,205.0,75.0,Orthodox,11,9,0,2,0,8203,6.0,0.0,2.0,2596,485,928,821,1305,9,31,312,699,125,174,48,55,316,699,48,61,121,168,1.0,1.0,0.0,327.0,294.0,720.0,393.0,829.0,3.0,22.0,105.0,456.0,79.0,137.0,110.0,127.0,262.0,675.0,29.0,39.0,3.0,6.0
980,Magomed Mustafaev,68.0,155.0,71.0,Orthodox,5,3,0,2,0,2175,2.0,1.0,0.0,579,94,160,126,196,8,16,54,109,23,33,17,18,48,101,24,36,22,23,1.0,2.0,0.0,807.0,97.0,165.0,215.0,292.0,10.0,13.0,53.0,109.0,28.0,38.0,16.0,18.0,44.0,90.0,20.0,30.0,33.0,45.0
981,Maheshate,72.0,155.0,71.0,Orthodox,2,1,0,1,0,974,2.0,0.0,0.0,0,32,151,37,158,0,0,22,118,9,31,1,2,30,148,1,2,1,1,0.0,0.0,0.0,405.0,56.0,117.0,88.0,159.0,6.0,11.0,36.0,85.0,11.0,21.0,9.0,11.0,32.0,79.0,11.0,14.0,13.0,24.0
982,Maia Stevenson,64.0,115.0,62.0,Orthodox,1,0,0,1,0,230,0.0,0.0,0.0,89,6,11,11,16,1,1,1,6,3,3,2,2,4,9,2,2,0,0,0.0,3.0,1.0,106.0,12.0,18.0,25.0,35.0,1.0,2.0,11.0,16.0,1.0,2.0,0.0,0.0,4.0,8.0,1.0,2.0,7.0,8.0
983,Mairbek Taisumov,69.0,155.0,73.0,Orthodox,9,7,0,2,0,4697,4.0,0.0,0.0,397,233,595,264,632,7,11,145,459,39,76,49,60,197,531,13,24,23,40,1.0,0.0,0.0,350.0,237.0,675.0,276.0,722.0,3.0,26.0,161.0,554.0,46.0,81.0,30.0,40.0,216.0,641.0,11.0,22.0,10.0,12.0
984,Makhmud Muradov,74.0,185.0,75.0,Orthodox,4,3,0,1,0,2937,1.0,1.0,0.0,77,264,625,270,631,1,6,170,496,75,107,19,22,248,599,14,24,2,2,0.0,1.0,0.0,126.0,155.0,406.0,165.0,419.0,3.0,15.0,108.0,334.0,16.0,32.0,31.0,40.0,148.0,395.0,7.0,11.0,0.0,0.0
985,Maki Pitolo,70.0,185.0,75.0,Orthodox,6,1,0,5,0,3522,0.0,3.0,2.0,786,217,512,305,609,9,17,151,419,52,77,14,16,193,477,13,15,11,20,0.0,5.0,3.0,993.0,228.0,510.0,371.0,687.0,5.0,10.0,196.0,456.0,21.0,42.0,11.0,12.0,170.0,428.0,22.0,29.0,36.0,53.0
986,Makwan Amirkhani,70.0,145.0,72.0,Southpaw,13,7,0,6,0,7162,1.0,9.0,4.0,2473,161,363,241,463,33,76,141,329,13,26,7,8,104,278,0,2,57,83,6.0,8.0,2.0,1631.0,356.0,666.0,678.0,1031.0,8.0,13.0,211.0,460.0,97.0,135.0,48.0,71.0,183.0,451.0,55.0,65.0,118.0,150.0
987,Malcolm Gordon,67.0,125.0,71.0,Switch,4,2,0,2,0,1308,0.0,1.0,2.0,398,52,117,111,184,3,12,44,106,3,3,5,8,28,87,5,7,19,23,1.0,1.0,1.0,435.0,53.0,96.0,93.0,139.0,4.0,4.0,32.0,72.0,9.0,12.0,12.0,12.0,41.0,79.0,4.0,5.0,8.0,12.0
988,Mallory Martin,64.0,115.0,63.0,Orthodox,4,1,0,3,0,1867,0.0,1.0,0.0,415,116,285,185,360,2,8,93,256,22,27,1,2,95,260,16,19,5,6,1.0,8.0,0.0,326.0,194.0,407.0,312.0,537.0,3.0,4.0,141.0,328.0,42.0,67.0,11.0,12.0,162.0,363.0,28.0,38.0,4.0,6.0
989,Mana Martinez,70.0,135.0,70.0,Orthodox,3,2,0,1,0,2700,4.0,1.0,1.0,120,205,396,280,487,3,7,104,265,64,89,37,42,186,366,6,11,13,19,3.0,0.0,2.0,608.0,188.0,372.0,215.0,399.0,7.0,10.0,94.0,255.0,35.0,55.0,59.0,62.0,161.0,324.0,3.0,5.0,24.0,43.0
990,Mandy Bohm,67.0,125.0,71.0,Orthodox,2,0,0,2,0,1800,0.0,1.0,0.0,84,88,201,130,247,0,5,44,150,26,31,18,20,66,176,22,24,0,1,2.0,0.0,0.0,692.0,126.0,304.0,201.0,399.0,2.0,7.0,48.0,186.0,71.0,99.0,7.0,19.0,89.0,251.0,28.0,38.0,9.0,15.0
991,Manel Kape,65.0,125.0,68.0,Southpaw,5,3,0,2,0,3226,4.0,2.0,1.0,125,240,461,264,497,2,7,159,360,44,60,37,41,220,432,6,7,14,22,0.0,1.0,0.0,337.0,211.0,462.0,257.0,523.0,4.0,13.0,99.0,303.0,65.0,95.0,47.0,64.0,202.0,449.0,4.0,6.0,5.0,7.0
992,Manny Bermudez,70.0,145.0,71.0,Orthodox,5,3,0,2,0,1767,1.0,6.0,3.0,736,86,140,140,199,6,11,72,122,14,18,0,0,33,75,3,4,50,61,0.0,2.0,2.0,613.0,79.0,149.0,109.0,184.0,3.0,3.0,42.0,105.0,13.0,19.0,24.0,25.0,50.0,112.0,11.0,13.0,18.0,24.0
993,Manon Fiorot,67.0,125.0,65.0,Orthodox,4,4,0,0,0,2828,1.0,0.0,0.0,527,311,677,356,726,6,12,186,535,83,99,42,43,258,598,33,49,20,30,0.0,0.0,0.0,82.0,119.0,403.0,183.0,470.0,1.0,6.0,49.0,286.0,38.0,68.0,32.0,49.0,100.0,376.0,16.0,24.0,3.0,3.0
994,Manvel Gamburyan,65.0,135.0,67.0,Orthodox,15,6,0,8,1,8703,1.0,8.0,1.0,2225,282,709,512,975,30,92,180,574,46,67,56,68,177,527,66,96,39,86,5.0,1.0,1.0,1975.0,451.0,995.0,890.0,1501.0,11.0,36.0,259.0,756.0,83.0,108.0,109.0,131.0,290.0,771.0,106.0,144.0,55.0,80.0
995,Mara Romero Borella,66.0,125.0,69.0,Orthodox,7,2,0,5,0,3945,0.0,1.0,0.0,1002,167,440,315,603,8,18,100,355,14,21,53,64,137,402,13,18,17,20,2.0,7.0,0.0,811.0,163.0,565.0,258.0,688.0,2.0,6.0,94.0,465.0,44.0,68.0,25.0,32.0,125.0,517.0,22.0,30.0,16.0,18.0
996,Marc Diakiese,70.0,155.0,73.0,Orthodox,13,7,0,6,0,9460,2.0,0.0,2.0,2809,430,1068,633,1306,35,80,193,734,126,180,111,154,358,963,44,67,28,38,1.0,2.0,0.0,1240.0,415.0,900.0,561.0,1079.0,10.0,31.0,196.0,609.0,122.0,173.0,97.0,118.0,344.0,781.0,38.0,62.0,33.0,57.0
997,Marc-Andre Barriault,73.0,185.0,74.0,Orthodox,9,3,0,5,1,5971,2.0,1.0,1.0,672,532,1140,640,1265,2,8,390,955,80,110,62,75,334,874,134,180,64,86,1.0,2.0,1.0,1658.0,481.0,1056.0,637.0,1234.0,20.0,52.0,297.0,829.0,139.0,175.0,45.0,52.0,349.0,881.0,104.0,146.0,28.0,29.0
998,Marcel Fortuna,73.0,205.0,74.0,Orthodox,3,1,0,2,0,1990,1.0,1.0,0.0,68,127,273,144,290,1,12,88,221,26,35,13,17,116,258,11,14,0,1,0.0,0.0,2.0,206.0,150.0,423.0,189.0,466.0,2.0,8.0,100.0,355.0,30.0,44.0,20.0,24.0,132.0,389.0,8.0,19.0,10.0,15.0
999,Marcelo Golm,75.0,249.0,75.0,Orthodox,4,1,0,3,0,1994,0.0,1.0,0.0,174,142,243,200,307,1,2,93,188,24,29,25,26,72,156,50,64,20,23,1.0,0.0,0.0,766.0,143.0,264.0,259.0,393.0,1.0,8.0,100.0,211.0,30.0,37.0,13.0,16.0,64.0,164.0,70.0,89.0,9.0,11.0
1000,Marcelo Guimaraes,72.0,185.0,73.0,Orthodox,4,2,0,2,0,2709,0.0,0.0,0.0,934,211,406,299,507,6,43,63,222,36,56,112,128,168,353,42,51,1,2,1.0,0.0,0.0,17.0,199.0,535.0,253.0,591.0,1.0,1.0,123.0,424.0,32.0,56.0,44.0,55.0,159.0,493.0,38.0,40.0,2.0,2.0
1001,Marcelo Rojo,68.0,135.0,71.0,Orthodox,3,0,0,3,0,1953,0.0,0.0,0.0,58,160,404,185,431,1,2,77,304,31,44,52,56,140,373,15,25,5,6,3.0,2.0,0.0,497.0,209.0,465.0,247.0,513.0,4.0,12.0,140.0,380.0,37.0,52.0,32.0,33.0,151.0,381.0,24.0,29.0,34.0,55.0
1002,Marcin Held,69.0,155.0,71.0,Orthodox,4,1,0,3,0,3307,0.0,3.0,0.0,1394,103,315,210,442,12,21,97,299,4,12,2,4,71,258,12,22,20,35,2.0,1.0,0.0,755.0,107.0,248.0,175.0,323.0,2.0,5.0,78.0,211.0,22.0,29.0,7.0,8.0,65.0,196.0,15.0,19.0,27.0,33.0
