,FIGHTER,HEIGHT_fighter,WEIGHT_fighter,REACH_fighter,STANCE_fighter,Fights,Win,DRAW,Lost,No_contest,TotalTime,KD_fighter,SUB.ATT_fighter,REV._fighter,CTRL_fighter,SIG.STR._landed_fighter,SIG.STR._attemps_fighter,TOTAL STR._landed_fighter,TOTAL STR._attemps_fighter,TD_landed_fighter,TD_attemps_fighter,HEAD_landed_fighter,HEAD_attemps_fighter,BODY_landed_fighter,BODY_attemps_fighter,LEG_landed_fighter,LEG_attemps_fighter,DISTANCE_landed_fighter,DISTANCE_attemps_fighter,CLINCH_landed_fighter,CLINCH_attemps_fighter,GROUND_landed_fighter,GROUND_attemps_fighter,KD_opponent,SUB.ATT_opponent,REV._opponent,CTRL_opponent,SIG.STR._landed_opponent,SIG.STR._attemps_opponent,TOTAL STR._landed_opponent,TOTAL STR._attemps_opponent,TD_landed_opponent,TD_attemps_opponent,HEAD_landed_opponent,HEAD_attemps_opponent,BODY_landed_opponent,BODY_attemps_opponent,LEG_landed_opponent,LEG_attemps_opponent,DISTANCE_landed_opponent,DISTANCE_attemps_opponent,CLINCH_landed_opponent,CLINCH_attemps_opponent,GROUND_landed_opponent,GROUND_attemps_opponent
1420,Song Yadong,68.0,135.0,67.0,Orthodox,11,8,0,3,0,7200,5.0,2.0,2.0,847,546,1305,743,1525,5,9,359,1054,114,164,73,87,470,1193,44,62,32,50,0.0,0.0,0.0,961.0,472.0,1164.0,634.0,1337.0,12.0,42.0,296.0,914.0,105.0,155.0,71.0,95.0,409.0,1080.0,34.0,47.0,29.0,37.0
1421,Spencer Fisher,67.0,155.0,68.0,Southpaw,17,9,0,8,0,12057,3.0,10.0,2.0,1517,637,1464,1066,1944,9,30,305,1049,203,262,129,153,404,1122,172,241,61,101,0.0,12.0,2.0,4451.0,609.0,1698.0,1168.0,2371.0,38.0,96.0,343.0,1324.0,146.0,228.0,120.0,146.0,377.0,1301.0,111.0,151.0,121.0,246.0
1422,Spike Carlyle,68.0,145.0,71.0,Switch,3,1,0,2,0,1885,0.0,1.0,4.0,806,80,148,121,205,7,19,67,127,5,11,8,10,33,67,9,12,38,69,0.0,2.0,2.0,545.0,121.0,173.0,230.0,297.0,3.0,7.0,88.0,126.0,24.0,33.0,9.0,14.0,56.0,98.0,19.0,20.0,46.0,55.0
1423,Stanislav Nedkov,71.0,205.0,71.0,Orthodox,4,1,0,2,1,1624,2.0,0.0,0.0,548,90,207,119,241,5,12,69,178,14,20,7,9,32,107,36,57,22,43,2.0,2.0,0.0,351.0,146.0,259.0,214.0,336.0,1.0,1.0,69.0,164.0,38.0,53.0,39.0,42.0,46.0,111.0,82.0,125.0,18.0,23.0
1424,Stefan Sekulic,72.0,170.0,75.0,Southpaw,2,0,0,2,0,1800,0.0,1.0,0.0,260,55,110,70,127,4,12,20,65,8,16,27,29,50,102,3,6,2,2,1.0,1.0,0.0,169.0,85.0,240.0,99.0,256.0,3.0,4.0,50.0,190.0,22.0,34.0,13.0,16.0,62.0,210.0,14.0,19.0,9.0,11.0
1425,Stefan Struve,83.0,265.0,84.0,Orthodox,24,13,0,11,0,11252,3.0,21.0,6.0,1216,585,1233,776,1468,7,15,310,879,132,195,143,159,489,1085,35,57,61,91,10.0,4.0,3.0,3818.0,757.0,1415.0,1053.0,1754.0,23.0,52.0,451.0,1024.0,157.0,205.0,149.0,186.0,512.0,1016.0,75.0,118.0,170.0,281.0
1426,Stephan Bonnar,76.0,205.0,79.0,Orthodox,15,8,0,7,0,10403,2.0,13.0,3.0,3569,459,1155,1005,1758,17,41,324,961,89,125,46,69,199,725,147,245,113,185,2.0,4.0,2.0,2298.0,501.0,1053.0,743.0,1312.0,22.0,53.0,324.0,819.0,90.0,113.0,87.0,121.0,297.0,735.0,148.0,233.0,56.0,85.0
1427,Stephanie Egger,66.0,135.0,68.0,Orthodox,5,3,0,2,0,2237,0.0,2.0,2.0,879,67,119,177,269,8,20,46,94,6,8,15,17,29,76,8,9,30,34,0.0,3.0,0.0,835.0,64.0,134.0,147.0,241.0,5.0,9.0,28.0,82.0,23.0,34.0,13.0,18.0,45.0,107.0,6.0,8.0,13.0,19.0
1428,Stephen Thompson,72.0,170.0,75.0,Orthodox,19,12,0,7,0,16938,10.0,0.0,1.0,1132,1186,2587,1398,2825,5,12,792,2051,277,396,117,140,1072,2423,71,98,43,66,5.0,4.0,1.0,2565.0,857.0,1925.0,1242.0,2412.0,19.0,53.0,453.0,1350.0,154.0,253.0,250.0,322.0,599.0,1576.0,125.0,173.0,133.0,176.0
1429,Steve Bosse,71.0,205.0,72.0,Orthodox,3,2,0,1,0,981,1.0,0.0,0.0,163,98,185,125,215,1,3,79,159,13,17,6,9,61,130,15,18,22,37,2.0,0.0,0.0,193.0,88.0,178.0,128.0,220.0,0.0,3.0,64.0,149.0,19.0,23.0,5.0,6.0,68.0,146.0,11.0,15.0,9.0,17.0
1430,Steve Cantwell,74.0,185.0,75.0,Orthodox,6,1,0,5,0,4744,0.0,3.0,0.0,187,250,789,282,824,3,10,118,593,92,142,40,54,210,734,29,42,11,13,1.0,0.0,0.0,557.0,492.0,1061.0,589.0,1167.0,5.0,25.0,332.0,864.0,84.0,108.0,76.0,89.0,432.0,954.0,45.0,84.0,15.0,23.0
1431,Steve Garcia,72.0,155.0,75.0,Southpaw,4,2,0,2,0,1477,3.0,1.0,0.0,421,91,151,208,307,4,6,71,125,11,17,9,9,50,93,2,3,39,55,4.0,1.0,0.0,850.0,51.0,105.0,90.0,171.0,0.0,2.0,44.0,93.0,4.0,9.0,3.0,3.0,27.0,71.0,4.0,5.0,20.0,29.0
1432,Steve Steinbeiss,75.0,185.0,75.0,Orthodox,2,0,0,2,0,1136,0.0,0.0,0.0,322,92,148,162,219,0,1,22,66,61,72,9,10,27,70,65,78,0,0,0.0,3.0,0.0,539.0,47.0,82.0,148.0,197.0,5.0,9.0,27.0,54.0,16.0,24.0,4.0,4.0,10.0,30.0,21.0,30.0,16.0,22.0
1433,Steven Peterson,70.0,145.0,70.0,Orthodox,7,3,0,4,0,5791,1.0,6.0,1.0,1530,494,1184,670,1375,10,29,339,976,88,128,67,80,401,1058,50,73,43,53,0.0,2.0,4.0,744.0,589.0,1286.0,722.0,1431.0,9.0,25.0,432.0,1070.0,119.0,168.0,38.0,48.0,534.0,1203.0,41.0,64.0,14.0,19.0
1434,Steven Siler,71.0,145.0,70.0,Orthodox,9,5,0,4,0,5694,1.0,10.0,1.0,862,305,734,561,1016,3,14,194,606,78,88,33,40,179,536,99,150,27,48,1.0,14.0,1.0,2317.0,281.0,618.0,558.0,923.0,22.0,49.0,168.0,470.0,52.0,76.0,61.0,72.0,149.0,435.0,69.0,89.0,63.0,94.0
1435,Stevie Ray,70.0,155.0,70.0,Southpaw,11,7,0,4,0,7219,1.0,5.0,0.0,940,449,999,591,1160,6,13,280,774,50,77,119,148,328,827,31,52,90,120,2.0,2.0,0.0,1700.0,353.0,780.0,453.0,896.0,12.0,27.0,203.0,574.0,87.0,136.0,63.0,70.0,288.0,682.0,15.0,33.0,50.0,65.0
1436,Stipe Miocic,76.0,240.0,80.0,Orthodox,18,14,0,4,0,12073,7.0,0.0,0.0,3435,970,1821,1537,2462,25,73,713,1537,132,151,125,133,689,1429,117,174,164,218,5.0,2.0,0.0,431.0,769.0,1695.0,943.0,1881.0,6.0,19.0,554.0,1358.0,113.0,213.0,102.0,124.0,651.0,1531.0,70.0,103.0,48.0,61.0
1437,Sultan Aliev,71.0,170.0,74.0,Orthodox,4,2,0,2,0,2562,0.0,0.0,1.0,1047,60,131,140,219,5,13,51,117,7,11,2,3,37,97,13,23,10,11,1.0,1.0,0.0,275.0,94.0,217.0,251.0,380.0,0.0,6.0,34.0,129.0,30.0,51.0,30.0,37.0,58.0,176.0,29.0,34.0,7.0,7.0
1438,Suman Mokhtarian,68.0,145.0,72.0,Orthodox,2,0,0,2,0,1034,0.0,0.0,0.0,63,38,88,73,125,0,1,15,52,11,22,12,14,32,81,4,5,2,2,1.0,0.0,0.0,466.0,118.0,230.0,202.0,320.0,0.0,0.0,84.0,189.0,30.0,37.0,4.0,4.0,67.0,148.0,29.0,46.0,22.0,36.0
